FY,Source,Base.FY,Public.Law.Title,dod.deflator.Value
1998,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Personnel,56.87
1999,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Personnel,58.62
2e3,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Personnel,61.51
2001,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Personnel,63.55
2002,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Personnel,67.26
2003,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Personnel,69.26
2004,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Personnel,71.34
2005,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Personnel,73.66
2006,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Personnel,76.2
2007,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Personnel,78.23
2008,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Personnel,80.81
2009,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Personnel,83.49
2010,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Personnel,85.83
2011,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Personnel,87.13
2012,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Personnel,88.7
2013,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Personnel,90.33
2014,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Personnel,91.57
2015,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Personnel,92.61
2016,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Personnel,93.87
2017,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Personnel,95.63
2018,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Personnel,97.66
2019,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Personnel,100
2020,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Personnel,102.19
2021,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Personnel,104.39
2022,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Personnel,106.64
2023,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Military.Personnel,108.95
1970,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,14.71
1971,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,15.61
1972,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,16.43
1973,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,17.65
1974,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,19.64
1975,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,21.25
1976,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,23.38
1977,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,25.23
1978,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,27.39
1979,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,29.11
1980,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,34.05
1981,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,37.87
1982,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,39.86
1983,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,40.97
1984,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,41.75
1985,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,42.92
1986,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,43.09
1987,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,44.75
1988,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,46.28
1989,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,48.47
1990,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,50.13
1991,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,55.4
1992,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,55.07
1993,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,52.37
1994,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,53.91
1995,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,55.38
1996,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,56.78
1997,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,58.06
1998,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,60.14
1999,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,61.76
2e3,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,62.62
2001,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,65.75
2002,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,66.56
2003,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,69.86
2004,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,72.35
2005,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,76.16
2006,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,79.19
2007,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,81.33
2008,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,84.21
2009,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,85.01
2010,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,87.22
2011,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,89.17
2012,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,90.7
2013,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,92.3
2014,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,93.2
2015,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,94.09
2016,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,94.29
2017,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,96.19
2018,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,98.4
2019,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,100
2020,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,101.96
2021,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,104.22
2022,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,106.55
2023,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Operation...Maintenance,108.97
1970,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,14.71
1971,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,15.61
1972,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,16.43
1973,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,17.65
1974,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,19.64
1975,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,21.25
1976,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,23.38
1977,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,25.23
1978,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,27.39
1979,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,29.11
1980,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,34.05
1981,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,37.87
1982,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,39.86
1983,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,40.97
1984,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,41.75
1985,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,42.92
1986,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,43.09
1987,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,44.75
1988,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,46.28
1989,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,48.47
1990,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,50.13
1991,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,55.4
1992,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,55.07
1993,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,55.8
1994,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,57.41
1995,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,58.77
1996,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,60.23
1997,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,61.65
1998,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,63.67
1999,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,65.08
2e3,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,66.35
2001,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,69.48
2002,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,70.56
2003,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,72.22
2004,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,74.79
2005,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,78.82
2006,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,81.66
2007,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,83.48
2008,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,86.09
2009,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,86.53
2010,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,88.52
2011,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,90.41
2012,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,91.94
2013,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,93.5
2014,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,94.34
2015,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,95.03
2016,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,94.8
2017,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,96.56
2018,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,98.63
2019,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,100
2020,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,101.72
2021,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,103.74
2022,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,105.85
2023,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,O.M.Excluding.DHP,108.01
1970,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,17
1971,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,18.04
1972,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,19.44
1973,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,21.16
1974,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,23.3
1975,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,26.01
1976,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,28.8
1977,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,29.8
1978,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,32.67
1979,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,36.22
1980,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,39.83
1981,Table 5-6:  DEPARTMENT OF DEFENSE DEFLATORS - BUDGET AUTHORITY BY PUBLIC LAW TITLE,2019,Procurement,43.13
