FY,Service,Active.or.Civilians,Personnel
1988,Army,Civilians,393000
1989,Army,Civilians,403000
1990,Army,Civilians,380000
1991,Army,Civilians,365000
1992,Army,Civilians,334000
1993,Army,Civilians,294000
1994,Army,Civilians,280000
1995,Army,Civilians,267000
1996,Army,Civilians,259000
1997,Army,Civilians,247000
1998,Army,Civilians,237000
1999,Army,Civilians,227000
2000,Army,Civilians,221000
2001,Army,Civilians,220000
2002,Army,Civilians,224000
2003,Army,Civilians,224000
2004,Army,Civilians,227000
2005,Army,Civilians,231000
2006,Army,Civilians,237000
2007,Army,Civilians,238000
2008,Army,Civilians,246000
2009,Army,Civilians,263000
2010,Army,Civilians,276000
2011,Army,Civilians,284000
2012,Army,Civilians,275000
2013,Army,Civilians,256000
2014,Army,Civilians,207000
2015,Army,Civilians,206000
2016,Army,Civilians,195000
2017,Army,Civilians,191000
2018,Army,Civilians,189000
2019,Army,Civilians,190000
2020,Army,Civilians,191000
2021,Army,Civilians,195000
2022,Army,Civilians,197000
NA,Army,Civilians,NA
1940,Navy and Marine Corps,Civilians,119000
1941,Navy and Marine Corps,Civilians,227000
1942,Navy and Marine Corps,Civilians,432000
1943,Navy and Marine Corps,Civilians,648000
1944,Navy and Marine Corps,Civilians,736000
1945,Navy and Marine Corps,Civilians,747000
1946,Navy and Marine Corps,Civilians,489000
1947,Navy and Marine Corps,Civilians,356000
1948,Navy and Marine Corps,Civilians,347000
1949,Navy and Marine Corps,Civilians,343000
1950,Navy and Marine Corps,Civilians,293000
1951,Navy and Marine Corps,Civilians,452000
1952,Navy and Marine Corps,Civilians,481000
1953,Navy and Marine Corps,Civilians,470000
1954,Navy and Marine Corps,Civilians,433000
1955,Navy and Marine Corps,Civilians,433000
1956,Navy and Marine Corps,Civilians,416000
1957,Navy and Marine Corps,Civilians,411000
1958,Navy and Marine Corps,Civilians,381000
1959,Navy and Marine Corps,Civilians,375000
1960,Navy and Marine Corps,Civilians,365000
1961,Navy and Marine Corps,Civilians,363000
1962,Navy and Marine Corps,Civilians,365000
1963,Navy and Marine Corps,Civilians,360000
1964,Navy and Marine Corps,Civilians,347000
1965,Navy and Marine Corps,Civilians,343000
1966,Navy and Marine Corps,Civilians,367000
1967,Navy and Marine Corps,Civilians,416000
1968,Navy and Marine Corps,Civilians,429000
1969,Navy and Marine Corps,Civilians,438000
1970,Navy and Marine Corps,Civilians,388000
1971,Navy and Marine Corps,Civilians,362000
1972,Navy and Marine Corps,Civilians,353000
1973,Navy and Marine Corps,Civilians,334000
1974,Navy and Marine Corps,Civilians,335000
1975,Navy and Marine Corps,Civilians,326000
1976,Navy and Marine Corps,Civilians,321000
1977,Navy and Marine Corps,Civilians,318000
1978,Navy and Marine Corps,Civilians,317000
1979,Navy and Marine Corps,Civilians,310000
1980,Navy and Marine Corps,Civilians,309000
1981,Navy and Marine Corps,Civilians,321000
1982,Navy and Marine Corps,Civilians,319000
1983,Navy and Marine Corps,Civilians,339000
1984,Navy and Marine Corps,Civilians,342000
1985,Navy and Marine Corps,Civilians,353000
1986,Navy and Marine Corps,Civilians,342000
1987,Navy and Marine Corps,Civilians,353000
1988,Navy and Marine Corps,Civilians,348000
1989,Navy and Marine Corps,Civilians,354000
1990,Navy and Marine Corps,Civilians,341000
1991,Navy and Marine Corps,Civilians,329000
1992,Navy and Marine Corps,Civilians,309000
1993,Navy and Marine Corps,Civilians,285000
1994,Navy and Marine Corps,Civilians,269000
1995,Navy and Marine Corps,Civilians,249000
1996,Navy and Marine Corps,Civilians,240000
1997,Navy and Marine Corps,Civilians,223000
1998,Navy and Marine Corps,Civilians,210000
1999,Navy and Marine Corps,Civilians,204000
2000,Navy and Marine Corps,Civilians,197000
2001,Navy and Marine Corps,Civilians,194000
2002,Navy and Marine Corps,Civilians,195000
2003,Navy and Marine Corps,Civilians,198000
2004,Navy and Marine Corps,Civilians,195000
2005,Navy and Marine Corps,Civilians,190000
2006,Navy and Marine Corps,Civilians,189000
2007,Navy and Marine Corps,Civilians,187000
2008,Navy and Marine Corps,Civilians,189000
2009,Navy and Marine Corps,Civilians,197000
2010,Navy and Marine Corps,Civilians,209000
2011,Navy and Marine Corps,Civilians,212000
2012,Navy and Marine Corps,Civilians,213000
2013,Navy and Marine Corps,Civilians,208000
2014,Navy and Marine Corps,Civilians,193000
2015,Navy and Marine Corps,Civilians,199000
2016,Navy and Marine Corps,Civilians,204000
2017,Navy and Marine Corps,Civilians,206000
2018,Navy and Marine Corps,Civilians,209000
2019,Navy and Marine Corps,Civilians,218000
2020,Navy and Marine Corps,Civilians,221000
2021,Navy and Marine Corps,Civilians,222000
2022,Navy and Marine Corps,Civilians,223000
NA,Navy and Marine Corps,Civilians,NA
1940,Air Force,Civilians,0
1941,Air Force,Civilians,0
1942,Air Force,Civilians,0
1943,Air Force,Civilians,0
1944,Air Force,Civilians,0
1945,Air Force,Civilians,0
1946,Air Force,Civilians,0
1947,Air Force,Civilians,0
1948,Air Force,Civilians,152000
1949,Air Force,Civilians,166000
1950,Air Force,Civilians,154000
1951,Air Force,Civilians,261000
1952,Air Force,Civilians,310000
1953,Air Force,Civilians,382000
1954,Air Force,Civilians,371000
1955,Air Force,Civilians,397000
1956,Air Force,Civilians,333000
1957,Air Force,Civilians,417000
1958,Air Force,Civilians,373000
1959,Air Force,Civilians,364000
1960,Air Force,Civilians,355000
1961,Air Force,Civilians,346000
1962,Air Force,Civilians,349000
1963,Air Force,Civilians,337000
1964,Air Force,Civilians,322000
1965,Air Force,Civilians,317000
1966,Air Force,Civilians,336000
1967,Air Force,Civilians,349000
1968,Air Force,Civilians,339000
1969,Air Force,Civilians,349000
1970,Air Force,Civilians,328000
1971,Air Force,Civilians,313000
1972,Air Force,Civilians,300000
1973,Air Force,Civilians,288000
1974,Air Force,Civilians,289000
1975,Air Force,Civilians,278000
1976,Air Force,Civilians,262000
1977,Air Force,Civilians,255000
1978,Air Force,Civilians,251000
1979,Air Force,Civilians,245000
1980,Air Force,Civilians,244000
1981,Air Force,Civilians,246000
1982,Air Force,Civilians,248000
1983,Air Force,Civilians,251000
1984,Air Force,Civilians,253000
1985,Air Force,Civilians,264000
1986,Air Force,Civilians,263000
1987,Air Force,Civilians,264000
1988,Air Force,Civilians,253000
1989,Air Force,Civilians,261000
1990,Air Force,Civilians,249000
1991,Air Force,Civilians,233000
1992,Air Force,Civilians,214000
1993,Air Force,Civilians,202000
1994,Air Force,Civilians,196000
1995,Air Force,Civilians,186000
1996,Air Force,Civilians,183000
1997,Air Force,Civilians,180000
1998,Air Force,Civilians,174000
1999,Air Force,Civilians,169000
2000,Air Force,Civilians,163000
2001,Air Force,Civilians,160000
2002,Air Force,Civilians,157000
2003,Air Force,Civilians,159000
2004,Air Force,Civilians,160000
2005,Air Force,Civilians,163000
2006,Air Force,Civilians,167000
2007,Air Force,Civilians,163000
2008,Air Force,Civilians,162000
2009,Air Force,Civilians,164000
2010,Air Force,Civilians,172000
2011,Air Force,Civilians,184000
2012,Air Force,Civilians,178000
2013,Air Force,Civilians,180000
2014,Air Force,Civilians,167000
2015,Air Force,Civilians,166000
2016,Air Force,Civilians,167000
2017,Air Force,Civilians,167000
2018,Air Force,Civilians,170000
2019,Air Force,Civilians,172000
2020,Air Force,Civilians,174000
2021,Air Force,Civilians,174000
2022,Air Force,Civilians,176000
NA,Air Force,Civilians,NA
1940,Space.Force,Civilians,0
1941,Space.Force,Civilians,0
1942,Space.Force,Civilians,0
1943,Space.Force,Civilians,0
1944,Space.Force,Civilians,0
1945,Space.Force,Civilians,0
1946,Space.Force,Civilians,0
1947,Space.Force,Civilians,0
1948,Space.Force,Civilians,NA
1949,Space.Force,Civilians,NA
1950,Space.Force,Civilians,NA
1951,Space.Force,Civilians,NA
1952,Space.Force,Civilians,NA
1953,Space.Force,Civilians,NA
1954,Space.Force,Civilians,NA
1955,Space.Force,Civilians,NA
1956,Space.Force,Civilians,NA
1957,Space.Force,Civilians,NA
1958,Space.Force,Civilians,NA
1959,Space.Force,Civilians,NA
1960,Space.Force,Civilians,NA
1961,Space.Force,Civilians,NA
1962,Space.Force,Civilians,NA
1963,Space.Force,Civilians,NA
1964,Space.Force,Civilians,NA
1965,Space.Force,Civilians,NA
1966,Space.Force,Civilians,NA
1967,Space.Force,Civilians,NA
1968,Space.Force,Civilians,NA
1969,Space.Force,Civilians,NA
1970,Space.Force,Civilians,NA
1971,Space.Force,Civilians,NA
1972,Space.Force,Civilians,NA
1973,Space.Force,Civilians,NA
1974,Space.Force,Civilians,NA
1975,Space.Force,Civilians,NA
1976,Space.Force,Civilians,NA
1977,Space.Force,Civilians,NA
1978,Space.Force,Civilians,NA
1979,Space.Force,Civilians,NA
1980,Space.Force,Civilians,NA
1981,Space.Force,Civilians,NA
1982,Space.Force,Civilians,NA
1983,Space.Force,Civilians,NA
1984,Space.Force,Civilians,NA
1985,Space.Force,Civilians,NA
1986,Space.Force,Civilians,NA
1987,Space.Force,Civilians,NA
1988,Space.Force,Civilians,NA
1989,Space.Force,Civilians,NA
1990,Space.Force,Civilians,NA
1991,Space.Force,Civilians,NA
1992,Space.Force,Civilians,NA
1993,Space.Force,Civilians,NA
1994,Space.Force,Civilians,NA
1995,Space.Force,Civilians,NA
1996,Space.Force,Civilians,NA
1997,Space.Force,Civilians,NA
1998,Space.Force,Civilians,NA
1999,Space.Force,Civilians,NA
2000,Space.Force,Civilians,NA
2001,Space.Force,Civilians,NA
2002,Space.Force,Civilians,NA
2003,Space.Force,Civilians,NA
2004,Space.Force,Civilians,NA
2005,Space.Force,Civilians,NA
2006,Space.Force,Civilians,NA
2007,Space.Force,Civilians,NA
2008,Space.Force,Civilians,NA
2009,Space.Force,Civilians,NA
2010,Space.Force,Civilians,NA
2011,Space.Force,Civilians,NA
2012,Space.Force,Civilians,NA
2013,Space.Force,Civilians,NA
2014,Space.Force,Civilians,NA
2015,Space.Force,Civilians,NA
2016,Space.Force,Civilians,NA
2017,Space.Force,Civilians,NA
2018,Space.Force,Civilians,NA
2019,Space.Force,Civilians,NA
2020,Space.Force,Civilians,NA
2021,Space.Force,Civilians,4000
2022,Space.Force,Civilians,4000
NA,Space.Force,Civilians,NA
1940,Defense Agencies,Civilians,0
1941,Defense Agencies,Civilians,0
1942,Defense Agencies,Civilians,0
1943,Defense Agencies,Civilians,0
1944,Defense Agencies,Civilians,0
1945,Defense Agencies,Civilians,0
1946,Defense Agencies,Civilians,0
1947,Defense Agencies,Civilians,0
1948,Defense Agencies,Civilians,1000
1949,Defense Agencies,Civilians,2000
1950,Defense Agencies,Civilians,2000
1951,Defense Agencies,Civilians,2000
1952,Defense Agencies,Civilians,2000
1953,Defense Agencies,Civilians,2000
1954,Defense Agencies,Civilians,2000
1955,Defense Agencies,Civilians,2000
1956,Defense Agencies,Civilians,2000
1957,Defense Agencies,Civilians,2000
1958,Defense Agencies,Civilians,2000
1959,Defense Agencies,Civilians,2000
1960,Defense Agencies,Civilians,2000
1961,Defense Agencies,Civilians,2000
1962,Defense Agencies,Civilians,20000
1963,Defense Agencies,Civilians,32000
1964,Defense Agencies,Civilians,38000
1965,Defense Agencies,Civilians,42000
1966,Defense Agencies,Civilians,69000
1967,Defense Agencies,Civilians,76000
