FY,econ.deflator.name,econ.deflator.value,Deflator.Base.Year,Deflator.Source,Deflator.Notes
1990,Gross.Domestic.Product,58.32,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
1991,Gross.Domestic.Product,60.38,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
1992,Gross.Domestic.Product,61.86,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
1993,Gross.Domestic.Product,63.33,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
1994,Gross.Domestic.Product,64.71,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
1995,Gross.Domestic.Product,66.09,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
1996,Gross.Domestic.Product,67.32,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
1997,Gross.Domestic.Product,68.51,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
1998,Gross.Domestic.Product,69.35,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
1999,Gross.Domestic.Product,70.23,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
2000,Gross.Domestic.Product,71.69,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
2001,Gross.Domestic.Product,73.41,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
2002,Gross.Domestic.Product,74.6,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
2003,Gross.Domestic.Product,76.02,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
2004,Gross.Domestic.Product,77.9,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
2005,Gross.Domestic.Product,80.35,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
2006,Gross.Domestic.Product,82.96,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
2007,Gross.Domestic.Product,85.22,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
2008,Gross.Domestic.Product,86.99,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
2009,Gross.Domestic.Product,88,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
2010,Gross.Domestic.Product,88.77,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
2011,Gross.Domestic.Product,90.58,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
2012,Gross.Domestic.Product,92.23,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
2013,Gross.Domestic.Product,93.81,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
2014,Gross.Domestic.Product,95.42,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
2015,Gross.Domestic.Product,96.71,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
2016,Gross.Domestic.Product,98.24,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
2017,Gross.Domestic.Product,100,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
2018,Gross.Domestic.Product,101.94,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
2019,Gross.Domestic.Product,103.98,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
2020,Gross.Domestic.Product,106.06,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
2021,Gross.Domestic.Product,108.18,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables).
1970,Consumer.Price.Index.CPI.W,16.09,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
1971,Consumer.Price.Index.CPI.W,16.91,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
1972,Consumer.Price.Index.CPI.W,17.54,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
1973,Consumer.Price.Index.CPI.W,18.23,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
1974,Consumer.Price.Index.CPI.W,19.87,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
1975,Consumer.Price.Index.CPI.W,22.06,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
1976,Consumer.Price.Index.CPI.W,23.62,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
1977,Consumer.Price.Index.CPI.W,25.43,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
1978,Consumer.Price.Index.CPI.W,27.21,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
1979,Consumer.Price.Index.CPI.W,30.04,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
1980,Consumer.Price.Index.CPI.W,34.08,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
1981,Consumer.Price.Index.CPI.W,37.86,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
1982,Consumer.Price.Index.CPI.W,40.59,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
1983,Consumer.Price.Index.CPI.W,41.96,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
1984,Consumer.Price.Index.CPI.W,43.35,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
1985,Consumer.Price.Index.CPI.W,44.91,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
1986,Consumer.Price.Index.CPI.W,45.91,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
1987,Consumer.Price.Index.CPI.W,47.14,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
1988,Consumer.Price.Index.CPI.W,49.08,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
1989,Consumer.Price.Index.CPI.W,51.43,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
1990,Consumer.Price.Index.CPI.W,53.9,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
1991,Consumer.Price.Index.CPI.W,56.55,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
1992,Consumer.Price.Index.CPI.W,58.13,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
1993,Consumer.Price.Index.CPI.W,59.81,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
1994,Consumer.Price.Index.CPI.W,61.32,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
1995,Consumer.Price.Index.CPI.W,63.09,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
1996,Consumer.Price.Index.CPI.W,64.85,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
1997,Consumer.Price.Index.CPI.W,66.55,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
1998,Consumer.Price.Index.CPI.W,67.48,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
1999,Consumer.Price.Index.CPI.W,68.75,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
2000,Consumer.Price.Index.CPI.W,70.6,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
2001,Consumer.Price.Index.CPI.W,72.3,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
2002,Consumer.Price.Index.CPI.W,73.19,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
2003,Consumer.Price.Index.CPI.W,74.86,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
2004,Consumer.Price.Index.CPI.W,76.52,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
2005,Consumer.Price.Index.CPI.W,79.11,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
2006,Consumer.Price.Index.CPI.W,82.11,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
2007,Consumer.Price.Index.CPI.W,83.92,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
2008,Consumer.Price.Index.CPI.W,87.93,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
2009,Consumer.Price.Index.CPI.W,87.25,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
2010,Consumer.Price.Index.CPI.W,89.15,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
2011,Consumer.Price.Index.CPI.W,91.83,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
2012,Consumer.Price.Index.CPI.W,94.22,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
2013,Consumer.Price.Index.CPI.W,95.72,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
2014,Consumer.Price.Index.CPI.W,97.17,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
2015,Consumer.Price.Index.CPI.W,96.97,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
2016,Consumer.Price.Index.CPI.W,97.94,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
2017,Consumer.Price.Index.CPI.W,100,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
2018,Consumer.Price.Index.CPI.W,102,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
2019,Consumer.Price.Index.CPI.W,104.24,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
2020,Consumer.Price.Index.CPI.W,106.54,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
2021,Consumer.Price.Index.CPI.W,108.99,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,2.  Provided by OMB.
1970,Dept.of.Defense.Non.Pay,17.48,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
1971,Dept.of.Defense.Non.Pay,18.46,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
1972,Dept.of.Defense.Non.Pay,19.4,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
1973,Dept.of.Defense.Non.Pay,20.98,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
1974,Dept.of.Defense.Non.Pay,23.21,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
1975,Dept.of.Defense.Non.Pay,25.52,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
1976,Dept.of.Defense.Non.Pay,28.41,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
1977,Dept.of.Defense.Non.Pay,29.75,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
1978,Dept.of.Defense.Non.Pay,32.4,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
1979,Dept.of.Defense.Non.Pay,35.51,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
1980,Dept.of.Defense.Non.Pay,40.66,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
1981,Dept.of.Defense.Non.Pay,44.33,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
1982,Dept.of.Defense.Non.Pay,47.17,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
1983,Dept.of.Defense.Non.Pay,48.75,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
1984,Dept.of.Defense.Non.Pay,49.97,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
1985,Dept.of.Defense.Non.Pay,51.36,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
1986,Dept.of.Defense.Non.Pay,52.52,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
1987,Dept.of.Defense.Non.Pay,53.83,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
1988,Dept.of.Defense.Non.Pay,55.52,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
1989,Dept.of.Defense.Non.Pay,57.47,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
1990,Dept.of.Defense.Non.Pay,59.33,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
1991,Dept.of.Defense.Non.Pay,62.23,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
1992,Dept.of.Defense.Non.Pay,63.27,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
1993,Dept.of.Defense.Non.Pay,61.88,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
1994,Dept.of.Defense.Non.Pay,63,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
1995,Dept.of.Defense.Non.Pay,64.12,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
1996,Dept.of.Defense.Non.Pay,65.42,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
1997,Dept.of.Defense.Non.Pay,66.59,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
1998,Dept.of.Defense.Non.Pay,67.85,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
1999,Dept.of.Defense.Non.Pay,68.96,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
2000,Dept.of.Defense.Non.Pay,69.63,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
2001,Dept.of.Defense.Non.Pay,71.66,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
2002,Dept.of.Defense.Non.Pay,72.24,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
2003,Dept.of.Defense.Non.Pay,74.15,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
2004,Dept.of.Defense.Non.Pay,76.34,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
2005,Dept.of.Defense.Non.Pay,79.57,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
2006,Dept.of.Defense.Non.Pay,82.2,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
2007,Dept.of.Defense.Non.Pay,84.36,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
2008,Dept.of.Defense.Non.Pay,86.6,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
2009,Dept.of.Defense.Non.Pay,87.3,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
2010,Dept.of.Defense.Non.Pay,89.18,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
2011,Dept.of.Defense.Non.Pay,91.17,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
2012,Dept.of.Defense.Non.Pay,92.86,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
2013,Dept.of.Defense.Non.Pay,94.58,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
2014,Dept.of.Defense.Non.Pay,95.8,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
2015,Dept.of.Defense.Non.Pay,96.91,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
2016,Dept.of.Defense.Non.Pay,98.31,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
2017,Dept.of.Defense.Non.Pay,100,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
2018,Dept.of.Defense.Non.Pay,102.17,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
2019,Dept.of.Defense.Non.Pay,104.43,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
2020,Dept.of.Defense.Non.Pay,106.73,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
2021,Dept.of.Defense.Non.Pay,109.05,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,None
1970,Dept.of.Defense.Purchases,18.14,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,"3.  Excludes pay, fuel, and medical factors."
1971,Dept.of.Defense.Purchases,19.11,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,"3.  Excludes pay, fuel, and medical factors."
1972,Dept.of.Defense.Purchases,20.27,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,"3.  Excludes pay, fuel, and medical factors."
1973,Dept.of.Defense.Purchases,21.91,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,"3.  Excludes pay, fuel, and medical factors."
1974,Dept.of.Defense.Purchases,24.33,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,"3.  Excludes pay, fuel, and medical factors."
1975,Dept.of.Defense.Purchases,27.25,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,"3.  Excludes pay, fuel, and medical factors."
1976,Dept.of.Defense.Purchases,30.03,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,"3.  Excludes pay, fuel, and medical factors."
1977,Dept.of.Defense.Purchases,31.19,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,"3.  Excludes pay, fuel, and medical factors."
1978,Dept.of.Defense.Purchases,33.92,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,"3.  Excludes pay, fuel, and medical factors."
1979,Dept.of.Defense.Purchases,37.32,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,"3.  Excludes pay, fuel, and medical factors."
1980,Dept.of.Defense.Purchases,41,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,"3.  Excludes pay, fuel, and medical factors."
1981,Dept.of.Defense.Purchases,44.41,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,"3.  Excludes pay, fuel, and medical factors."
1982,Dept.of.Defense.Purchases,47.08,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,"3.  Excludes pay, fuel, and medical factors."
1983,Dept.of.Defense.Purchases,49.13,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,"3.  Excludes pay, fuel, and medical factors."
1984,Dept.of.Defense.Purchases,50.8,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,"3.  Excludes pay, fuel, and medical factors."
1985,Dept.of.Defense.Purchases,52.36,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,"3.  Excludes pay, fuel, and medical factors."
1986,Dept.of.Defense.Purchases,53.94,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,"3.  Excludes pay, fuel, and medical factors."
1987,Dept.of.Defense.Purchases,55.61,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,"3.  Excludes pay, fuel, and medical factors."
1988,Dept.of.Defense.Purchases,57.68,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,"3.  Excludes pay, fuel, and medical factors."
1989,Dept.of.Defense.Purchases,59.9,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,"3.  Excludes pay, fuel, and medical factors."
1990,Dept.of.Defense.Purchases,62.1,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,"3.  Excludes pay, fuel, and medical factors."
1991,Dept.of.Defense.Purchases,64.14,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,"3.  Excludes pay, fuel, and medical factors."
1992,Dept.of.Defense.Purchases,65.6,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,"3.  Excludes pay, fuel, and medical factors."
1993,Dept.of.Defense.Purchases,66.97,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,"3.  Excludes pay, fuel, and medical factors."
1994,Dept.of.Defense.Purchases,68.22,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,"3.  Excludes pay, fuel, and medical factors."
1995,Dept.of.Defense.Purchases,69.46,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,"3.  Excludes pay, fuel, and medical factors."
1996,Dept.of.Defense.Purchases,70.59,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,"3.  Excludes pay, fuel, and medical factors."
1997,Dept.of.Defense.Purchases,71.48,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,"3.  Excludes pay, fuel, and medical factors."
1998,Dept.of.Defense.Purchases,72.14,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,"3.  Excludes pay, fuel, and medical factors."
1999,Dept.of.Defense.Purchases,73.03,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,"3.  Excludes pay, fuel, and medical factors."
2000,Dept.of.Defense.Purchases,74.15,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,"3.  Excludes pay, fuel, and medical factors."
2001,Dept.of.Defense.Purchases,75.26,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,"3.  Excludes pay, fuel, and medical factors."
2002,Dept.of.Defense.Purchases,76.18,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,"3.  Excludes pay, fuel, and medical factors."
2003,Dept.of.Defense.Purchases,77.49,2017,Table 5-1: Department of Defense and Selected Economy-Wide Indices,"3.  Excludes pay, fuel, and medical factors."
