"FY","econ.deflator.name","econ.deflator.value","Deflator.Base.Year","Deflator.Source","Deflator.Notes"
1996,"Gross.Domestic.Product",0.6732,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
1997,"Gross.Domestic.Product",0.6851,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
1998,"Gross.Domestic.Product",0.6935,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
1999,"Gross.Domestic.Product",0.7023,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
2000,"Gross.Domestic.Product",0.7169,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
2001,"Gross.Domestic.Product",0.7341,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
2002,"Gross.Domestic.Product",0.746,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
2003,"Gross.Domestic.Product",0.7602,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
2004,"Gross.Domestic.Product",0.779,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
2005,"Gross.Domestic.Product",0.8035,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
2006,"Gross.Domestic.Product",0.8296,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
2007,"Gross.Domestic.Product",0.8522,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
2008,"Gross.Domestic.Product",0.8699,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
2009,"Gross.Domestic.Product",0.88,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
2010,"Gross.Domestic.Product",0.8877,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
2011,"Gross.Domestic.Product",0.9058,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
2012,"Gross.Domestic.Product",0.9223,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
2013,"Gross.Domestic.Product",0.9381,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
2014,"Gross.Domestic.Product",0.9542,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
2015,"Gross.Domestic.Product",0.9671,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
2016,"Gross.Domestic.Product",0.9824,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
2017,"Gross.Domestic.Product",1,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
2018,"Gross.Domestic.Product",1.0194,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
2019,"Gross.Domestic.Product",1.0398,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
2020,"Gross.Domestic.Product",1.0606,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
2021,"Gross.Domestic.Product",1.0818,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","1.  From OMB Historical Table 10-1 (Gross Domestic Product and Deflators Used in the Historical Tables)."
1970,"Consumer.Price.Index.CPI.W",0.1609,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
1971,"Consumer.Price.Index.CPI.W",0.1691,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
1972,"Consumer.Price.Index.CPI.W",0.1754,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
1973,"Consumer.Price.Index.CPI.W",0.1823,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
1974,"Consumer.Price.Index.CPI.W",0.1987,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
1975,"Consumer.Price.Index.CPI.W",0.2206,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
1976,"Consumer.Price.Index.CPI.W",0.2362,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
1977,"Consumer.Price.Index.CPI.W",0.2543,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
1978,"Consumer.Price.Index.CPI.W",0.2721,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
1979,"Consumer.Price.Index.CPI.W",0.3004,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
1980,"Consumer.Price.Index.CPI.W",0.3408,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
1981,"Consumer.Price.Index.CPI.W",0.3786,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
1982,"Consumer.Price.Index.CPI.W",0.4059,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
1983,"Consumer.Price.Index.CPI.W",0.4196,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
1984,"Consumer.Price.Index.CPI.W",0.4335,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
1985,"Consumer.Price.Index.CPI.W",0.4491,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
1986,"Consumer.Price.Index.CPI.W",0.4591,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
1987,"Consumer.Price.Index.CPI.W",0.4714,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
1988,"Consumer.Price.Index.CPI.W",0.4908,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
1989,"Consumer.Price.Index.CPI.W",0.5143,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
1990,"Consumer.Price.Index.CPI.W",0.539,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
1991,"Consumer.Price.Index.CPI.W",0.5655,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
1992,"Consumer.Price.Index.CPI.W",0.5813,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
1993,"Consumer.Price.Index.CPI.W",0.5981,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
1994,"Consumer.Price.Index.CPI.W",0.6132,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
1995,"Consumer.Price.Index.CPI.W",0.6309,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
1996,"Consumer.Price.Index.CPI.W",0.6485,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
1997,"Consumer.Price.Index.CPI.W",0.6655,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
1998,"Consumer.Price.Index.CPI.W",0.6748,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
1999,"Consumer.Price.Index.CPI.W",0.6875,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
2000,"Consumer.Price.Index.CPI.W",0.706,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
2001,"Consumer.Price.Index.CPI.W",0.723,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
2002,"Consumer.Price.Index.CPI.W",0.7319,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
2003,"Consumer.Price.Index.CPI.W",0.7486,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
2004,"Consumer.Price.Index.CPI.W",0.7652,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
2005,"Consumer.Price.Index.CPI.W",0.7911,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
2006,"Consumer.Price.Index.CPI.W",0.8211,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
2007,"Consumer.Price.Index.CPI.W",0.8392,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
2008,"Consumer.Price.Index.CPI.W",0.8793,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
2009,"Consumer.Price.Index.CPI.W",0.8725,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
2010,"Consumer.Price.Index.CPI.W",0.8915,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
2011,"Consumer.Price.Index.CPI.W",0.9183,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
2012,"Consumer.Price.Index.CPI.W",0.9422,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
2013,"Consumer.Price.Index.CPI.W",0.9572,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
2014,"Consumer.Price.Index.CPI.W",0.9717,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
2015,"Consumer.Price.Index.CPI.W",0.9697,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
2016,"Consumer.Price.Index.CPI.W",0.9794,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
2017,"Consumer.Price.Index.CPI.W",1,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
2018,"Consumer.Price.Index.CPI.W",1.02,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
2019,"Consumer.Price.Index.CPI.W",1.0424,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
2020,"Consumer.Price.Index.CPI.W",1.0654,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
2021,"Consumer.Price.Index.CPI.W",1.0899,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","2.  Provided by OMB."
1970,"Dept.of.Defense.Non.Pay",0.1748,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
1971,"Dept.of.Defense.Non.Pay",0.1846,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
1972,"Dept.of.Defense.Non.Pay",0.194,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
1973,"Dept.of.Defense.Non.Pay",0.2098,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
1974,"Dept.of.Defense.Non.Pay",0.2321,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
1975,"Dept.of.Defense.Non.Pay",0.2552,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
1976,"Dept.of.Defense.Non.Pay",0.2841,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
1977,"Dept.of.Defense.Non.Pay",0.2975,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
1978,"Dept.of.Defense.Non.Pay",0.324,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
1979,"Dept.of.Defense.Non.Pay",0.3551,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
1980,"Dept.of.Defense.Non.Pay",0.4066,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
1981,"Dept.of.Defense.Non.Pay",0.4433,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
1982,"Dept.of.Defense.Non.Pay",0.4717,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
1983,"Dept.of.Defense.Non.Pay",0.4875,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
1984,"Dept.of.Defense.Non.Pay",0.4997,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
1985,"Dept.of.Defense.Non.Pay",0.5136,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
1986,"Dept.of.Defense.Non.Pay",0.5252,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
1987,"Dept.of.Defense.Non.Pay",0.5383,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
1988,"Dept.of.Defense.Non.Pay",0.5552,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
1989,"Dept.of.Defense.Non.Pay",0.5747,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
1990,"Dept.of.Defense.Non.Pay",0.5933,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
1991,"Dept.of.Defense.Non.Pay",0.6223,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
1992,"Dept.of.Defense.Non.Pay",0.6327,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
1993,"Dept.of.Defense.Non.Pay",0.6188,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
1994,"Dept.of.Defense.Non.Pay",0.63,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
1995,"Dept.of.Defense.Non.Pay",0.6412,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
1996,"Dept.of.Defense.Non.Pay",0.6542,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
1997,"Dept.of.Defense.Non.Pay",0.6659,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
1998,"Dept.of.Defense.Non.Pay",0.6785,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
1999,"Dept.of.Defense.Non.Pay",0.6896,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
2000,"Dept.of.Defense.Non.Pay",0.6963,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
2001,"Dept.of.Defense.Non.Pay",0.7166,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
2002,"Dept.of.Defense.Non.Pay",0.7224,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
2003,"Dept.of.Defense.Non.Pay",0.7415,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
2004,"Dept.of.Defense.Non.Pay",0.7634,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
2005,"Dept.of.Defense.Non.Pay",0.7957,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
2006,"Dept.of.Defense.Non.Pay",0.822,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
2007,"Dept.of.Defense.Non.Pay",0.8436,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
2008,"Dept.of.Defense.Non.Pay",0.866,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
2009,"Dept.of.Defense.Non.Pay",0.873,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
2010,"Dept.of.Defense.Non.Pay",0.8918,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
2011,"Dept.of.Defense.Non.Pay",0.9117,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
2012,"Dept.of.Defense.Non.Pay",0.9286,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
2013,"Dept.of.Defense.Non.Pay",0.9458,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
2014,"Dept.of.Defense.Non.Pay",0.958,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
2015,"Dept.of.Defense.Non.Pay",0.9691,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
2016,"Dept.of.Defense.Non.Pay",0.9831,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
2017,"Dept.of.Defense.Non.Pay",1,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
2018,"Dept.of.Defense.Non.Pay",1.0217,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
2019,"Dept.of.Defense.Non.Pay",1.0443,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
2020,"Dept.of.Defense.Non.Pay",1.0673,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
2021,"Dept.of.Defense.Non.Pay",1.0905,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","None"
1970,"Dept.of.Defense.Purchases",0.1814,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","3.  Excludes pay, fuel, and medical factors."
1971,"Dept.of.Defense.Purchases",0.1911,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","3.  Excludes pay, fuel, and medical factors."
1972,"Dept.of.Defense.Purchases",0.2027,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","3.  Excludes pay, fuel, and medical factors."
1973,"Dept.of.Defense.Purchases",0.2191,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","3.  Excludes pay, fuel, and medical factors."
1974,"Dept.of.Defense.Purchases",0.2433,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","3.  Excludes pay, fuel, and medical factors."
1975,"Dept.of.Defense.Purchases",0.2725,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","3.  Excludes pay, fuel, and medical factors."
1976,"Dept.of.Defense.Purchases",0.3003,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","3.  Excludes pay, fuel, and medical factors."
1977,"Dept.of.Defense.Purchases",0.3119,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","3.  Excludes pay, fuel, and medical factors."
1978,"Dept.of.Defense.Purchases",0.3392,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","3.  Excludes pay, fuel, and medical factors."
1979,"Dept.of.Defense.Purchases",0.3732,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","3.  Excludes pay, fuel, and medical factors."
1980,"Dept.of.Defense.Purchases",0.41,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","3.  Excludes pay, fuel, and medical factors."
1981,"Dept.of.Defense.Purchases",0.4441,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","3.  Excludes pay, fuel, and medical factors."
1982,"Dept.of.Defense.Purchases",0.4708,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","3.  Excludes pay, fuel, and medical factors."
1983,"Dept.of.Defense.Purchases",0.4913,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","3.  Excludes pay, fuel, and medical factors."
1984,"Dept.of.Defense.Purchases",0.508,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","3.  Excludes pay, fuel, and medical factors."
1985,"Dept.of.Defense.Purchases",0.5236,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","3.  Excludes pay, fuel, and medical factors."
1986,"Dept.of.Defense.Purchases",0.5394,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","3.  Excludes pay, fuel, and medical factors."
1987,"Dept.of.Defense.Purchases",0.5561,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","3.  Excludes pay, fuel, and medical factors."
1988,"Dept.of.Defense.Purchases",0.5768,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","3.  Excludes pay, fuel, and medical factors."
1989,"Dept.of.Defense.Purchases",0.599,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","3.  Excludes pay, fuel, and medical factors."
1990,"Dept.of.Defense.Purchases",0.621,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","3.  Excludes pay, fuel, and medical factors."
1991,"Dept.of.Defense.Purchases",0.6414,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","3.  Excludes pay, fuel, and medical factors."
1992,"Dept.of.Defense.Purchases",0.656,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","3.  Excludes pay, fuel, and medical factors."
1993,"Dept.of.Defense.Purchases",0.6697,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","3.  Excludes pay, fuel, and medical factors."
1994,"Dept.of.Defense.Purchases",0.6822,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","3.  Excludes pay, fuel, and medical factors."
1995,"Dept.of.Defense.Purchases",0.6946,2017,"Table 5-1: Department of Defense and Selected Economy-Wide Indices","3.  Excludes pay, fuel, and medical factors."
