source.table,budget.type,deflator.type,pay.category,pay.type,FY,amount
tbl.6.02.TOA.by.Pay.Category,TOA,current,OCO.place.holder,other,1953,0
tbl.6.02.TOA.by.Pay.Category,TOA,constant,civilian.pay,pay,1953,101354000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,military.pay,pay,1953,206894000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,military.retired.pay.accrual,pay,1953,4229000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,medicare.eligible.retired.health.fund.contributions,non.pay,1953,0
tbl.6.02.TOA.by.Pay.Category,TOA,constant,other.military.personnel,non.pay,1953,17721000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,non.pay.operations,non.pay,1953,63536000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,non.pay.investment,non.pay,1953,183231000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,OCO.place.holder,other,1953,0
tbl.6.02.TOA.by.Pay.Category,TOA,current,civilian.pay,pay,1954,5271000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,military.pay,pay,1954,9461000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,military.retired.pay.accrual,pay,1954,386000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,medicare.eligible.retired.health.fund.contributions,non.pay,1954,0
tbl.6.02.TOA.by.Pay.Category,TOA,current,other.military.personnel,non.pay,1954,1729000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,non.pay.operations,non.pay,1954,4289000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,non.pay.investment,non.pay,1954,9292000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,OCO.place.holder,other,1954,0
tbl.6.02.TOA.by.Pay.Category,TOA,constant,civilian.pay,pay,1954,92143000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,military.pay,pay,1954,196192000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,military.retired.pay.accrual,pay,1954,4912000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,medicare.eligible.retired.health.fund.contributions,non.pay,1954,0
tbl.6.02.TOA.by.Pay.Category,TOA,constant,other.military.personnel,non.pay,1954,14754000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,non.pay.operations,non.pay,1954,44248000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,non.pay.investment,non.pay,1954,83708000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,OCO.place.holder,other,1954,0
tbl.6.02.TOA.by.Pay.Category,TOA,current,civilian.pay,pay,1955,5255000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,military.pay,pay,1955,9244000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,military.retired.pay.accrual,pay,1955,422000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,medicare.eligible.retired.health.fund.contributions,non.pay,1955,0
tbl.6.02.TOA.by.Pay.Category,TOA,current,other.military.personnel,non.pay,1955,1796000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,non.pay.operations,non.pay,1955,3943000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,non.pay.investment,non.pay,1955,13130000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,OCO.place.holder,other,1955,0
tbl.6.02.TOA.by.Pay.Category,TOA,constant,civilian.pay,pay,1955,86666000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,military.pay,pay,1955,187507000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,military.retired.pay.accrual,pay,1955,5058000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,medicare.eligible.retired.health.fund.contributions,non.pay,1955,0
tbl.6.02.TOA.by.Pay.Category,TOA,constant,other.military.personnel,non.pay,1955,14430000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,non.pay.operations,non.pay,1955,39722000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,non.pay.investment,non.pay,1955,112937000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,OCO.place.holder,other,1955,0
tbl.6.02.TOA.by.Pay.Category,TOA,current,civilian.pay,pay,1956,5502000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,military.pay,pay,1956,9136000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,military.retired.pay.accrual,pay,1956,479000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,medicare.eligible.retired.health.fund.contributions,non.pay,1956,0
tbl.6.02.TOA.by.Pay.Category,TOA,current,other.military.personnel,non.pay,1956,1752000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,non.pay.operations,non.pay,1956,4485000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,non.pay.investment,non.pay,1956,16711000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,OCO.place.holder,other,1956,0
tbl.6.02.TOA.by.Pay.Category,TOA,constant,civilian.pay,pay,1956,85176000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,military.pay,pay,1956,176998000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,military.retired.pay.accrual,pay,1956,5371000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,medicare.eligible.retired.health.fund.contributions,non.pay,1956,0
tbl.6.02.TOA.by.Pay.Category,TOA,constant,other.military.personnel,non.pay,1956,13466000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,non.pay.operations,non.pay,1956,43900000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,non.pay.investment,non.pay,1956,141850000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,OCO.place.holder,other,1956,0
tbl.6.02.TOA.by.Pay.Category,TOA,current,civilian.pay,pay,1957,5701000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,military.pay,pay,1957,9117000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,military.retired.pay.accrual,pay,1957,511000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,medicare.eligible.retired.health.fund.contributions,non.pay,1957,0
tbl.6.02.TOA.by.Pay.Category,TOA,current,other.military.personnel,non.pay,1957,1828000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,non.pay.operations,non.pay,1957,4695000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,non.pay.investment,non.pay,1957,17872000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,OCO.place.holder,other,1957,0
tbl.6.02.TOA.by.Pay.Category,TOA,constant,civilian.pay,pay,1957,84824000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,military.pay,pay,1957,179690000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,military.retired.pay.accrual,pay,1957,5514000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,medicare.eligible.retired.health.fund.contributions,non.pay,1957,0
tbl.6.02.TOA.by.Pay.Category,TOA,constant,other.military.personnel,non.pay,1957,13215000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,non.pay.operations,non.pay,1957,44441000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,non.pay.investment,non.pay,1957,146462000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,OCO.place.holder,other,1957,0
tbl.6.02.TOA.by.Pay.Category,TOA,current,civilian.pay,pay,1958,6003000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,military.pay,pay,1958,8993000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,military.retired.pay.accrual,pay,1958,561000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,medicare.eligible.retired.health.fund.contributions,non.pay,1958,0
tbl.6.02.TOA.by.Pay.Category,TOA,current,other.military.personnel,non.pay,1958,1994000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,non.pay.operations,non.pay,1958,5032000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,non.pay.investment,non.pay,1958,18541000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,OCO.place.holder,other,1958,0
tbl.6.02.TOA.by.Pay.Category,TOA,constant,civilian.pay,pay,1958,83765000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,military.pay,pay,1958,169403000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,military.retired.pay.accrual,pay,1958,6002000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,medicare.eligible.retired.health.fund.contributions,non.pay,1958,0
tbl.6.02.TOA.by.Pay.Category,TOA,constant,other.military.personnel,non.pay,1958,14237000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,non.pay.operations,non.pay,1958,46478000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,non.pay.investment,non.pay,1958,153922000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,OCO.place.holder,other,1958,0
tbl.6.02.TOA.by.Pay.Category,TOA,current,civilian.pay,pay,1959,6327000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,military.pay,pay,1959,9269000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,military.retired.pay.accrual,pay,1959,635000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,medicare.eligible.retired.health.fund.contributions,non.pay,1959,0
tbl.6.02.TOA.by.Pay.Category,TOA,current,other.military.personnel,non.pay,1959,2025000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,non.pay.operations,non.pay,1959,4946000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,non.pay.investment,non.pay,1959,18992000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,OCO.place.holder,other,1959,0
tbl.6.02.TOA.by.Pay.Category,TOA,constant,civilian.pay,pay,1959,83089000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,military.pay,pay,1959,163201000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,military.retired.pay.accrual,pay,1959,6346000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,medicare.eligible.retired.health.fund.contributions,non.pay,1959,0
tbl.6.02.TOA.by.Pay.Category,TOA,constant,other.military.personnel,non.pay,1959,14196000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,non.pay.operations,non.pay,1959,45434000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,non.pay.investment,non.pay,1959,155484000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,OCO.place.holder,other,1959,0
tbl.6.02.TOA.by.Pay.Category,TOA,current,civilian.pay,pay,1960,6240000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,military.pay,pay,1960,9168000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,military.retired.pay.accrual,pay,1960,693000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,medicare.eligible.retired.health.fund.contributions,non.pay,1960,0
tbl.6.02.TOA.by.Pay.Category,TOA,current,other.military.personnel,non.pay,1960,2072000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,non.pay.operations,non.pay,1960,5149000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,non.pay.investment,non.pay,1960,16934000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,OCO.place.holder,other,1960,0
tbl.6.02.TOA.by.Pay.Category,TOA,constant,civilian.pay,pay,1960,79693000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,military.pay,pay,1960,159787000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,military.retired.pay.accrual,pay,1960,6987000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,medicare.eligible.retired.health.fund.contributions,non.pay,1960,0
tbl.6.02.TOA.by.Pay.Category,TOA,constant,other.military.personnel,non.pay,1960,14585000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,non.pay.operations,non.pay,1960,46177000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,non.pay.investment,non.pay,1960,136010000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,OCO.place.holder,other,1960,0
tbl.6.02.TOA.by.Pay.Category,TOA,current,civilian.pay,pay,1961,6616000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,military.pay,pay,1961,9181000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,military.retired.pay.accrual,pay,1961,788000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,medicare.eligible.retired.health.fund.contributions,non.pay,1961,0
tbl.6.02.TOA.by.Pay.Category,TOA,current,other.military.personnel,non.pay,1961,2176000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,non.pay.operations,non.pay,1961,5428000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,non.pay.investment,non.pay,1961,20454000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,OCO.place.holder,other,1961,0
tbl.6.02.TOA.by.Pay.Category,TOA,constant,civilian.pay,pay,1961,78485000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,military.pay,pay,1961,158700000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,military.retired.pay.accrual,pay,1961,7968000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,medicare.eligible.retired.health.fund.contributions,non.pay,1961,0
tbl.6.02.TOA.by.Pay.Category,TOA,constant,other.military.personnel,non.pay,1961,15095000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,non.pay.operations,non.pay,1961,48035000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,non.pay.investment,non.pay,1961,165505000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,OCO.place.holder,other,1961,0
tbl.6.02.TOA.by.Pay.Category,TOA,current,civilian.pay,pay,1962,7034000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,military.pay,pay,1962,9917000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,military.retired.pay.accrual,pay,1962,896000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,medicare.eligible.retired.health.fund.contributions,non.pay,1962,0
tbl.6.02.TOA.by.Pay.Category,TOA,current,other.military.personnel,non.pay,1962,2240000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,non.pay.operations,non.pay,1962,6271000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,non.pay.investment,non.pay,1962,22075000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,OCO.place.holder,other,1962,0
tbl.6.02.TOA.by.Pay.Category,TOA,constant,civilian.pay,pay,1962,81514000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,military.pay,pay,1962,172362000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,military.retired.pay.accrual,pay,1962,9051000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,medicare.eligible.retired.health.fund.contributions,non.pay,1962,0
tbl.6.02.TOA.by.Pay.Category,TOA,constant,other.military.personnel,non.pay,1962,15683000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,non.pay.operations,non.pay,1962,54715000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,non.pay.investment,non.pay,1962,176093000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,OCO.place.holder,other,1962,0
tbl.6.02.TOA.by.Pay.Category,TOA,current,civilian.pay,pay,1963,7295000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,military.pay,pay,1963,9762000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,military.retired.pay.accrual,pay,1963,1015000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,medicare.eligible.retired.health.fund.contributions,non.pay,1963,0
tbl.6.02.TOA.by.Pay.Category,TOA,current,other.military.personnel,non.pay,1963,2279000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,non.pay.operations,non.pay,1963,6132000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,non.pay.investment,non.pay,1963,22936000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,OCO.place.holder,other,1963,0
tbl.6.02.TOA.by.Pay.Category,TOA,constant,civilian.pay,pay,1963,81500000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,military.pay,pay,1963,168191000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,military.retired.pay.accrual,pay,1963,10338000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,medicare.eligible.retired.health.fund.contributions,non.pay,1963,0
tbl.6.02.TOA.by.Pay.Category,TOA,constant,other.military.personnel,non.pay,1963,15901000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,non.pay.operations,non.pay,1963,53127000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,non.pay.investment,non.pay,1963,179905000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,OCO.place.holder,other,1963,0
tbl.6.02.TOA.by.Pay.Category,TOA,current,civilian.pay,pay,1964,7502000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,military.pay,pay,1964,10615000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,military.retired.pay.accrual,pay,1964,1211000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,medicare.eligible.retired.health.fund.contributions,non.pay,1964,0
tbl.6.02.TOA.by.Pay.Category,TOA,current,other.military.personnel,non.pay,1964,2368000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,non.pay.operations,non.pay,1964,6156000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,non.pay.investment,non.pay,1964,21694000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,OCO.place.holder,other,1964,0
tbl.6.02.TOA.by.Pay.Category,TOA,constant,civilian.pay,pay,1964,80406000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,military.pay,pay,1964,168315000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,military.retired.pay.accrual,pay,1964,11858000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,medicare.eligible.retired.health.fund.contributions,non.pay,1964,0
tbl.6.02.TOA.by.Pay.Category,TOA,constant,other.military.personnel,non.pay,1964,16416000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,non.pay.operations,non.pay,1964,52820000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,non.pay.investment,non.pay,1964,165467000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,OCO.place.holder,other,1964,0
tbl.6.02.TOA.by.Pay.Category,TOA,current,civilian.pay,pay,1965,7833000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,military.pay,pay,1965,11019000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,military.retired.pay.accrual,pay,1965,1386000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,medicare.eligible.retired.health.fund.contributions,non.pay,1965,0
tbl.6.02.TOA.by.Pay.Category,TOA,current,other.military.personnel,non.pay,1965,2411000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,non.pay.operations,non.pay,1965,6728000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,non.pay.investment,non.pay,1965,20184000000
tbl.6.02.TOA.by.Pay.Category,TOA,current,OCO.place.holder,other,1965,0
tbl.6.02.TOA.by.Pay.Category,TOA,constant,civilian.pay,pay,1965,79234000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,military.pay,pay,1965,168221000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,military.retired.pay.accrual,pay,1965,13339000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,medicare.eligible.retired.health.fund.contributions,non.pay,1965,0
tbl.6.02.TOA.by.Pay.Category,TOA,constant,other.military.personnel,non.pay,1965,16450000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,non.pay.operations,non.pay,1965,55932000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,non.pay.investment,non.pay,1965,149738000000
tbl.6.02.TOA.by.Pay.Category,TOA,constant,OCO.place.holder,other,1965,0
tbl.6.02.TOA.by.Pay.Category,TOA,current,civilian.pay,pay,1966,8500000000
