Service,Public Law Title,FY,deflator.type,Amount,source.table,data.notes
Army,Revolving and Management Funds  .............................................................................................,1949,current,0,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,"Trust, Receipts, and Other  .....................................................................................................",1949,current,-181000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Military Personnel  .............................................................................................,1950,constant,41367000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Operation and Maintenance  .............................................................................................,1950,constant,26478000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Procurement  .............................................................................................,1950,constant,2901000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,RDT&E  .....................................................................................................,1950,constant,1363000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Military Construction  .............................................................................................,1950,constant,1042000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Family Housing  .............................................................................................,1950,constant,0,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Revolving and Management Funds  .............................................................................................,1950,constant,915000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,"Trust, Receipts, and Other  .....................................................................................................",1950,constant,-652000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Military Personnel  .............................................................................................,1950,current,1973000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Operation and Maintenance  .............................................................................................,1950,current,1736000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Procurement  .............................................................................................,1950,current,308000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,RDT&E  .....................................................................................................,1950,current,117000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Military Construction  .............................................................................................,1950,current,116000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Family Housing  .............................................................................................,1950,current,0,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Revolving and Management Funds  .............................................................................................,1950,current,101000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,"Trust, Receipts, and Other  .....................................................................................................",1950,current,-72000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Military Personnel  .............................................................................................,1951,constant,80293000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Operation and Maintenance  .............................................................................................,1951,constant,64307000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Procurement  .............................................................................................,1951,constant,69155000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,RDT&E  .....................................................................................................,1951,constant,3844000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Military Construction  .............................................................................................,1951,constant,4693000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Family Housing  .............................................................................................,1951,constant,0,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Revolving and Management Funds  .............................................................................................,1951,constant,2211000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,"Trust, Receipts, and Other  .....................................................................................................",1951,constant,-605000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Military Personnel  .............................................................................................,1951,current,4323000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Operation and Maintenance  .............................................................................................,1951,current,5847000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Procurement  .............................................................................................,1951,current,8288000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,RDT&E  .....................................................................................................,1951,current,336000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Military Construction  .............................................................................................,1951,current,531000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Family Housing  .............................................................................................,1951,current,0,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Revolving and Management Funds  .............................................................................................,1951,current,267000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,"Trust, Receipts, and Other  .....................................................................................................",1951,current,-73000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Military Personnel  .............................................................................................,1952,constant,97911000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Operation and Maintenance  .............................................................................................,1952,constant,72465000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Procurement  .............................................................................................,1952,constant,76401000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,RDT&E  .....................................................................................................,1952,constant,4811000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Military Construction  .............................................................................................,1952,constant,8890000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Family Housing  .............................................................................................,1952,constant,0,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Revolving and Management Funds  .............................................................................................,1952,constant,1325000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,"Trust, Receipts, and Other  .....................................................................................................",1952,constant,-631000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Military Personnel  .............................................................................................,1952,current,4939000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Operation and Maintenance  .............................................................................................,1952,current,6064000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Procurement  .............................................................................................,1952,current,8733000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,RDT&E  .....................................................................................................,1952,current,436000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Military Construction  .............................................................................................,1952,current,1025000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Family Housing  .............................................................................................,1952,current,0,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Revolving and Management Funds  .............................................................................................,1952,current,155000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,"Trust, Receipts, and Other  .....................................................................................................",1952,current,-74000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Military Personnel  .............................................................................................,1953,constant,97283000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Operation and Maintenance  .............................................................................................,1953,constant,56174000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Procurement  .............................................................................................,1953,constant,36344000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,RDT&E  .....................................................................................................,1953,constant,6113000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Military Construction  .............................................................................................,1953,constant,5795000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Family Housing  .............................................................................................,1953,constant,0,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Revolving and Management Funds  .............................................................................................,1953,constant,1014000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,"Trust, Receipts, and Other  .....................................................................................................",1953,constant,-659000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Military Personnel  .............................................................................................,1953,current,5290000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Operation and Maintenance  .............................................................................................,1953,current,4460000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Procurement  .............................................................................................,1953,current,4041000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,RDT&E  .....................................................................................................,1953,current,577000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Military Construction  .............................................................................................,1953,current,666000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Family Housing  .............................................................................................,1953,current,0,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Revolving and Management Funds  .............................................................................................,1953,current,120000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,"Trust, Receipts, and Other  .....................................................................................................",1953,current,-78000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Military Personnel  .............................................................................................,1954,constant,90197000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Operation and Maintenance  .............................................................................................,1954,constant,53472000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Procurement  .............................................................................................,1954,constant,27095000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,RDT&E  .....................................................................................................,1954,constant,5836000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Military Construction  .............................................................................................,1954,constant,298000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Family Housing  .............................................................................................,1954,constant,0,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Revolving and Management Funds  .............................................................................................,1954,constant,0,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,"Trust, Receipts, and Other  .....................................................................................................",1954,constant,-793000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Military Personnel  .............................................................................................,1954,current,4892000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Operation and Maintenance  .............................................................................................,1954,current,4452000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Procurement  .............................................................................................,1954,current,3009000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,RDT&E  .....................................................................................................,1954,current,573000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Military Construction  .............................................................................................,1954,current,12000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Family Housing  .............................................................................................,1954,current,0,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Revolving and Management Funds  .............................................................................................,1954,current,0,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,"Trust, Receipts, and Other  .....................................................................................................",1954,current,-92000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Military Personnel  .............................................................................................,1955,constant,81766000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Operation and Maintenance  .............................................................................................,1955,constant,36713000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Procurement  .............................................................................................,1955,constant,0,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,RDT&E  .....................................................................................................,1955,constant,4335000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Military Construction  .............................................................................................,1955,constant,368000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Family Housing  .............................................................................................,1955,constant,0,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Revolving and Management Funds  .............................................................................................,1955,constant,1213000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,"Trust, Receipts, and Other  .....................................................................................................",1955,constant,-995000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Military Personnel  .............................................................................................,1955,current,4490000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Operation and Maintenance  .............................................................................................,1955,current,2711000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Procurement  .............................................................................................,1955,current,0,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,RDT&E  .....................................................................................................,1955,current,398000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Military Construction  .............................................................................................,1955,current,20000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Family Housing  .............................................................................................,1955,current,0,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Revolving and Management Funds  .............................................................................................,1955,current,150000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,"Trust, Receipts, and Other  .....................................................................................................",1955,current,-123000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Military Personnel  .............................................................................................,1956,constant,70083000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Operation and Maintenance  .............................................................................................,1956,constant,36094000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Procurement  .............................................................................................,1956,constant,0,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,RDT&E  .....................................................................................................,1956,constant,5457000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Military Construction  .............................................................................................,1956,constant,440000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Family Housing  .............................................................................................,1956,constant,0,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Revolving and Management Funds  .............................................................................................,1956,constant,0,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,"Trust, Receipts, and Other  .....................................................................................................",1956,constant,-1018000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Military Personnel  .............................................................................................,1956,current,4015000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Operation and Maintenance  .............................................................................................,1956,current,2834000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Procurement  .............................................................................................,1956,current,0,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,RDT&E  .....................................................................................................,1956,current,583000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Military Construction  .............................................................................................,1956,current,32000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Family Housing  .............................................................................................,1956,current,0,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Revolving and Management Funds  .............................................................................................,1956,current,0,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,"Trust, Receipts, and Other  .....................................................................................................",1956,current,-131000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Military Personnel  .............................................................................................,1957,constant,70221000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Operation and Maintenance  .............................................................................................,1957,constant,37294000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Procurement  .............................................................................................,1957,constant,0,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,RDT&E  .....................................................................................................,1957,constant,4833000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Military Construction  .............................................................................................,1957,constant,418000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Family Housing  .............................................................................................,1957,constant,0,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Revolving and Management Funds  .............................................................................................,1957,constant,0,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,"Trust, Receipts, and Other  .....................................................................................................",1957,constant,-823000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Military Personnel  .............................................................................................,1957,current,3970000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Operation and Maintenance  .............................................................................................,1957,current,3132000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Procurement  .............................................................................................,1957,current,0,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,RDT&E  .....................................................................................................,1957,current,533000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Military Construction  .............................................................................................,1957,current,55000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Family Housing  .............................................................................................,1957,current,0,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Revolving and Management Funds  .............................................................................................,1957,current,0,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,"Trust, Receipts, and Other  .....................................................................................................",1957,current,-114000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Military Personnel  .............................................................................................,1958,constant,62953000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Operation and Maintenance  .............................................................................................,1958,constant,37214000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Procurement  .............................................................................................,1958,constant,0,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,RDT&E  .....................................................................................................,1958,constant,5212000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Military Construction  .............................................................................................,1958,constant,2917000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Family Housing  .............................................................................................,1958,constant,0,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Revolving and Management Funds  .............................................................................................,1958,constant,0,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,"Trust, Receipts, and Other  .....................................................................................................",1958,constant,550000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Military Personnel  .............................................................................................,1958,current,3498000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Operation and Maintenance  .............................................................................................,1958,current,3291000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Procurement  .............................................................................................,1958,current,0,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,RDT&E  .....................................................................................................,1958,current,577000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Military Construction  .............................................................................................,1958,current,365000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Family Housing  .............................................................................................,1958,current,0,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Revolving and Management Funds  .............................................................................................,1958,current,0,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,"Trust, Receipts, and Other  .....................................................................................................",1958,current,77000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Military Personnel  .............................................................................................,1959,constant,60271000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Operation and Maintenance  .............................................................................................,1959,constant,35732000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,Procurement  .............................................................................................,1959,constant,9076000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
Army,RDT&E  .....................................................................................................,1959,constant,8989000000,tbl.6-19,All enacted war and supplemental funding is included; Includes both discretionary and mandatory 
